Index,Feature,Importance
20,sum_GSmagmom,0.09771123
1734,SumFeCo,0.062296722
108,max_GSmagmom,0.024139402
1737,SumMnFeCo,0.017547727
21,sum_SpaceGroupNumber,0.013377379
1739,SumMnFeCr,0.012676223
42,avg_GSmagmom,0.011402044
120,min_NdValence,0.011018673
180,jml_C-1,0.010615229
10,sum_NdValence,0.010036072
1479,jml_ddf_48,0.00985346
15,sum_NdUnfilled,0.009428128
647,jml_mean_charge_52,0.008665993
1729,SumMnCr,0.008407229
1384,jml_adf2_132,0.008240386
1211,jml_adf1_138,0.007956124
1258,jml_adf2_6,0.0063747363
9,sum_NpValence,0.0062187687
1415,jml_adf2_163,0.0055414904
594,jml_density,0.005518006
332,jml_mp_mult_voro_coord,0.00543612
4,sum_Column,0.0051570735
142,mode_NdValence,0.0046689888
1169,jml_adf1_96,0.004564802
352,jml_ndvalence,0.0042634546
1728,SumMnFe,0.0038316066
1080,jml_adf1_7,0.0037845867
357,jml_polzbl_divi_voro_coord,0.0037471638
146,mode_NpUnfilled,0.0036454236
12,sum_NValence,0.0036118226
471,jml_hfus_divi_therm_cond,0.0035907726
5,sum_Row,0.0033119635
1721,Mn,0.0032404582
105,max_NUnfilled,0.003164217
1722,Fe,0.00306991
6,sum_CovalentRadius,0.003043405
67,range_MendeleevNumber,0.002977211
1331,jml_adf2_79,0.0028160368
1071,jml_rdf_98,0.002806712
1357,jml_adf2_105,0.002739411
1520,jml_ddf_89,0.0027325784
233,jml_ndunfill,0.0027271586
1386,jml_adf2_134,0.0027125578
48,dev_Column,0.002708854
1075,jml_adf1_2,0.0026801447
1176,jml_adf1_103,0.0026368015
492,jml_bp_divi_voro_coord,0.0026101714
1128,jml_adf1_55,0.0025909485
1429,jml_adf2_177,0.002587319
337,jml_first_ion_en_mult_X,0.0025220437
1356,jml_adf2_104,0.0025110857
1113,jml_adf1_40,0.002504357
478,jml_bp_divi_therm_cond,0.002490969
1427,jml_adf2_175,0.0024502615
134,mode_AtomicWeight,0.0024193714
588,jml_first_ion_en_add_atom_rad,0.002402224
0,sum_Number,0.0023982446
1251,jml_adf1_178,0.0023634124
570,jml_bp_divi_polzbl,0.00232205
8,sum_NsValence,0.002317475
103,max_NdUnfilled,0.0022511743
153,mode_SpaceGroupNumber,0.0022294396
133,mode_MendeleevNumber,0.0022270957
91,max_MeltingT,0.002223038
1544,jml_ddf_113,0.00221777
13,sum_NsUnfilled,0.002182669
1091,jml_adf1_18,0.0021747546
16,sum_NfUnfilled,0.002171682
1533,jml_ddf_102,0.0021667706
147,mode_NdUnfilled,0.0021494885
1261,jml_adf2_9,0.0020833013
17,sum_NUnfilled,0.0020782042
1202,jml_adf1_129,0.0020745168
407,jml_hfus_divi_atom_mass,0.002067827
18,sum_GSvolume_pa,0.002031943
361,jml_min_oxid_s,0.0019860137
369,jml_first_ion_en_mult_voro_coord,0.0019669356
237,jml_jv_enp,0.0019438914
1180,jml_adf1_107,0.001939079
1738,SumMnFeNi,0.0019288228
71,range_Row,0.0018874153
334,jml_mp_add_voro_coord,0.0018820422
501,jml_mol_vol_mult_therm_cond,0.0018784915
1187,jml_adf1_114,0.0018566519
362,jml_elec_aff_mult_atom_rad,0.0018526419
7,sum_Electronegativity,0.0018325894
1253,jml_adf2_1,0.0018288901
1250,jml_adf1_177,0.0018098927
401,jml_X,0.001790222
996,jml_rdf_23,0.0017551928
